id,question
q1,W ciągu ilu dni od przedstawienia projektu procedury zgłoszeń wewnętrznych          przez podmiot prawny muszą zakończyć się konsultacje?
q2,Od ilu zatrudnionych osób podmiot prawny musi ustanowić wewnętrzną procedurę zgłoszeń naruszeń?
q3,W jakim terminie (dni) należy potwierdzić sygnaliście przyjęcie zgłoszenia wewnętrznego?
q4,Po ilu miesiącach od upływu terminu       kalendarzowego Rzecznik Praw Obywatelskich usuwa dane osobowe związane ze zgłoszeniem zewnętrznym?
q5,Przez ile lat podmiot prawny i organ publiczny przechowują dane osobowe związane ze zgłoszeniem?
q6,W ciągu ilu dni od otrzymania wniosku musi zostać zorganizowane bezpośrednie       spotkanie w przypadku zgłoszenia ustnego?
q7,Ile dni ma organ publiczny na przekazanie zgłoszenia zewnętrznego do właściwego organu?
q8,"Ile osób minimum musi mieszkać w gminie lub powiecie,      aby jednostki organizacyjne musiały stosować przepisy o zgłoszeniach wewnętrznych?"
q9,Co ile lat minimum Rzecznik Praw Obywatelskich i       organ publiczny muszą dokonywać przeglądu procedury zgłoszeń?
q10,Ile lat pozbawienia wolności grozi za ujawnienie tożsamości sygnalisty?
